date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:30:36	84325/84325	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:50:29%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/index.html	C:/Users/CLINTON/Downloads/invest2/EDUDASH/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/index.html	(from )
14:30:37	239/239	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Jan%202025%2013:30:36%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/robots.txt		(from )
14:30:38	4138/4138	---MCZ	200	added ('OK')	text/css	etag:W/%22614c6791-102a%22	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/src/css/vendors_css.css	C:/Users/CLINTON/Downloads/invest2/EDUDASH/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/src/css/vendors_css.css	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/index.html)
14:30:41	50327/50327	---MCZ	200	added ('OK')	text/css	etag:W/%22614c6790-c497%22	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/src/css/skin_color.css	C:/Users/CLINTON/Downloads/invest2/EDUDASH/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/src/css/skin_color.css	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/index.html)
14:30:43	4991/4991	---M--	200	added ('OK')	image/png	etag:%2261452c10-137f%22	http://edulearn-lms-admin-template.multipurposethemes.com/images/logo-letter.png	C:/Users/CLINTON/Downloads/invest2/EDUDASH/edulearn-lms-admin-template.multipurposethemes.com/images/logo-letter.png	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/index.html)
14:30:43	750666/750666	---MCZ	200	added ('OK')	text/css	etag:W/%22614c678f-b744a%22	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/src/css/style.css	C:/Users/CLINTON/Downloads/invest2/EDUDASH/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/src/css/style.css	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/index.html)
14:30:43	3932/3932	---M--	200	added ('OK')	image/png	etag:%2261452c16-f5c%22	http://edulearn-lms-admin-template.multipurposethemes.com/images/logo-letter-white.png	C:/Users/CLINTON/Downloads/invest2/EDUDASH/edulearn-lms-admin-template.multipurposethemes.com/images/logo-letter-white.png	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/index.html)
14:30:46	2025/2025	---M--	200	added ('OK')	image/png	etag:%22614da0e8-7e9%22	http://edulearn-lms-admin-template.multipurposethemes.com/images/logo-dark-text.png	C:/Users/CLINTON/Downloads/invest2/EDUDASH/edulearn-lms-admin-template.multipurposethemes.com/images/logo-dark-text.png	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/index.html)
14:30:55	1884/1884	---M--	200	added ('OK')	image/png	etag:%22614d9f25-75c%22	http://edulearn-lms-admin-template.multipurposethemes.com/images/logo-light-text.png	C:/Users/CLINTON/Downloads/invest2/EDUDASH/edulearn-lms-admin-template.multipurposethemes.com/images/logo-light-text.png	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/index.html)
14:31:16	7364/7364	---M--	200	added ('OK')	image/png	etag:%22614c6e0c-1cc4%22	http://edulearn-lms-admin-template.multipurposethemes.com/images/avatar/avatar-13.png	C:/Users/CLINTON/Downloads/invest2/EDUDASH/edulearn-lms-admin-template.multipurposethemes.com/images/avatar/avatar-13.png	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main-mini-dark-rtl/index.html)
